image_name,camera,captured_at,source_path,selected_path,size_bytes
belen_titan_07_2026-03-23_095056.jpg,07,2026-03-23 09:50:56,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_07_2026-03-23_095056.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_07_2026-03-23_095056.jpg,1143731
belen_titan_08_2026-03-23_095101.jpg,08,2026-03-23 09:51:01,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_08_2026-03-23_095101.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_08_2026-03-23_095101.jpg,1108412
belen_titan_01_2026-03-23_101032.jpg,01,2026-03-23 10:10:32,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_01_2026-03-23_101032.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_01_2026-03-23_101032.jpg,479655
belen_titan_03_2026-03-23_101102.jpg,03,2026-03-23 10:11:02,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_03_2026-03-23_101102.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_03_2026-03-23_101102.jpg,1104635
belen_titan_04_2026-03-23_101132.jpg,04,2026-03-23 10:11:32,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_04_2026-03-23_101132.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_04_2026-03-23_101132.jpg,939483
belen_titan_05_2026-03-23_101137.jpg,05,2026-03-23 10:11:37,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_05_2026-03-23_101137.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_05_2026-03-23_101137.jpg,1356254
belen_titan_06_2026-03-23_101142.jpg,06,2026-03-23 10:11:42,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_06_2026-03-23_101142.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_06_2026-03-23_101142.jpg,1069067
belen_titan_07_2026-03-23_101234.jpg,07,2026-03-23 10:12:34,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_07_2026-03-23_101234.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_07_2026-03-23_101234.jpg,1130812
belen_titan_08_2026-03-23_101239.jpg,08,2026-03-23 10:12:39,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_08_2026-03-23_101239.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_08_2026-03-23_101239.jpg,1129192
belen_titan_01_2026-03-23_103032.jpg,01,2026-03-23 10:30:32,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-23\belen_titan_01_2026-03-23_103032.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_colab_20260408\selected_images\belen_titan_01_2026-03-23_103032.jpg,414235
