image_name,camera,captured_at,source_path,selected_path,size_bytes
belen_titan_04_2026-03-18_123628.jpg,04,2026-03-18 12:36:28,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_04_2026-03-18_123628.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_04_2026-03-18_123628.jpg,1061885
belen_titan_05_2026-03-18_123633.jpg,05,2026-03-18 12:36:33,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_05_2026-03-18_123633.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_05_2026-03-18_123633.jpg,876460
belen_titan_06_2026-03-18_123638.jpg,06,2026-03-18 12:36:38,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_06_2026-03-18_123638.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_06_2026-03-18_123638.jpg,787343
belen_titan_07_2026-03-18_123643.jpg,07,2026-03-18 12:36:43,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_07_2026-03-18_123643.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_07_2026-03-18_123643.jpg,748993
belen_titan_08_2026-03-18_123648.jpg,08,2026-03-18 12:36:48,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_08_2026-03-18_123648.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_08_2026-03-18_123648.jpg,955737
belen_titan_01_2026-03-18_125119.jpg,01,2026-03-18 12:51:19,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_01_2026-03-18_125119.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_01_2026-03-18_125119.jpg,361649
belen_titan_03_2026-03-18_125124.jpg,03,2026-03-18 12:51:24,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_03_2026-03-18_125124.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_03_2026-03-18_125124.jpg,740180
belen_titan_04_2026-03-18_125128.jpg,04,2026-03-18 12:51:28,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_04_2026-03-18_125128.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_04_2026-03-18_125128.jpg,890878
belen_titan_05_2026-03-18_125133.jpg,05,2026-03-18 12:51:33,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_05_2026-03-18_125133.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_05_2026-03-18_125133.jpg,911816
belen_titan_06_2026-03-18_125138.jpg,06,2026-03-18 12:51:38,D:\SUBASTA\minera-belen\iakol_minera_belen_titan_alma_peru\capture_rumas\2026-03-18\belen_titan_06_2026-03-18_125138.jpg,D:\SUBASTA\deteccion-rumas-belen-para-roboflow\seleccion_nuevas_roboflow_100_actual_20260408\selected_images\belen_titan_06_2026-03-18_125138.jpg,830954
